
疵 | cī | flaw, fault, defect; disease
璧 | bì | piece of jade with hole in it
偈 | jié | brave; martial; hasty; scudding
蹦 | bèng | hop, leap, jump; bright
昶 | chǎng | a long day. bright. extended. clear
咙 | lóng | throat
铮 | zhēng | clanging sound; small gong
嗤 | chī | laugh at, ridicule, sneer; snort
戌 | xū | 11th terrestrial branch
屌 | diǎo | 
耘 | yún | weed
裳 | cháng | clothes; skirt; beautiful
啾 | jiū | wailing of child; chirp
嵘 | róng | high, steep; lofty, towering
胺 | è | amine
笃 | dǔ | deep, true, sincere, genuine
烹 | pēng | boil, cook; quick fry, stir fry
巩 | gǒng | bind; firm, secure, strong
厝 | cuò | cut or engrave; a grave or tombstone
疚 | jiù | chronic disease, chronic illness; sorrow
鸶 | sī | egret; Egretta garzetta
汹 | xiōng | the rush of water; turbulent; noisy, restless
蔷 | qiáng | rose
沐 | mù | bathe, cleanse, wash, shampoo
咽 | yān | throat; pharynx
烙 | luò | brand, burn; branding iron
畸 | jī | odd, fractional, remainder, odds
讳 | huì | conceal; shun; regard as taboo
揍 | zòu | hit, beat; smash, break
曙 | shù | bright, light of rising sun
铐 | kào | shackles, manacle















































































































































































































































































































































































































































































































































































































